Id,ict-index,influence,creativity,threat,value_form,web_name,now_cost,position,team,minutes,bps,points-per-game,points-last-game,playing-chance,big_chances_created,attempted_passes,completed_passes,was_home,clean_sheets,assists,open_play_crosses,dribbles
512,2.3,18.2,2.7,2.0,0.2,Zambo Anguissa,45,MD,FUL,90,14,2.0,2,,0,48,46,False,0,0,0,4
1,10.0,100.0,0.0,0.0,0.6,Cech,50,GK,ARS,180,50,3.0,3,,0,35,25,False,0,0,0,0
4,10.0,44.2,28.5,27.0,0.2,Bellern,55,DF,ARS,180,33,1.0,1,,1,46,36,False,0,0,1,0
5,5.3,15.2,16.2,22.0,0.1,Monreal,55,DF,ARS,90,14,1.0,1,100,0,35,31,False,0,0,1,0
7,8.5,57.0,10.4,17.0,0.1,Mustafi,55,DF,ARS,180,27,0.5,0,,0,64,56,False,0,0,0,0
9,5.6,55.0,0.7,0.0,0.2,Chambers,45,DF,FUL,180,37,1.0,1,,0,39,29,False,0,0,0,0
522,8.4,49.6,0.3,34.0,0.6,Stankovic,40,DF,HUD,90,23,5.0,5,,0,13,8,False,0,0,0,1
12,4.9,38.6,10.5,0.0,0.1,Sokratis,54,DF,ARS,180,26,0.5,1,,0,44,38,False,0,0,0,0
13,5.5,10.2,27.0,18.0,0.2,zil,84,MD,ARS,157,13,2.0,2,,0,18,15,False,0,0,0,0
14,5.6,11.8,15.6,29.0,0.1,Ramsey,75,MD,ARS,75,9,1.0,1,100,0,8,5,False,0,0,1,0
15,9.3,40.4,26.0,27.0,0.6,Iwobi,55,MD,ARS,74,30,7.0,7,,2,16,9,False,0,0,1,1
17,2.5,12.2,12.8,0.0,0.1,Xhaka,54,MD,ARS,114,14,0.5,0,,0,35,29,False,0,0,0,0
18,22.7,80.0,82.3,65.0,1.0,Mkhitaryan,71,MD,ARS,180,54,7.0,12,,1,35,25,False,0,1,1,2
20,2.1,10.8,10.3,0.0,0.1,Maitland-Niles,45,MD,ARS,34,7,1.0,0,0,0,0,0,False,0,0,0,0
24,3.6,35.6,0.0,0.0,1.0,Begovic,45,GK,BOU,180,37,4.5,3,,0,21,9,False,0,0,0,0
26,4.5,29.8,11.1,4.0,0.6,Francis,45,DF,BOU,35,20,2.5,1,,0,4,3,False,0,0,0,0
27,13.9,107.2,11.3,21.0,2.2,Steve Cook,46,DF,BOU,180,67,10.0,14,,0,18,15,False,0,1,0,0
28,6.9,33.6,32.2,4.0,0.8,Daniels,45,DF,BOU,180,35,3.5,2,,0,27,20,False,0,0,1,1
29,5.9,32.8,18.3,8.0,0.9,Adam Smith,45,DF,BOU,180,43,4.0,2,,0,34,30,False,0,0,0,3
31,4.6,44.6,1.3,0.0,1.0,Ak,50,DF,BOU,180,38,5.0,2,100,0,24,21,False,0,0,0,0
33,3.3,17.2,14.3,1.0,0.2,Arter,50,MD,CAR,90,11,2.0,2,100,0,43,32,True,1,0,0,3
35,4.7,18.8,25.5,3.0,0.5,Surman,50,MD,BOU,180,24,2.5,2,,1,46,40,False,0,0,0,0
37,5.6,31.6,23.3,1.0,0.4,Gosling,50,MD,BOU,180,16,2.0,1,,0,38,28,False,0,0,0,1
40,18.3,73.6,70.8,39.0,1.5,Fraser,55,MD,BOU,180,67,8.5,6,,1,32,25,False,0,1,1,1
42,11.3,14.2,30.8,68.0,0.5,Brooks,50,MD,BOU,143,14,2.5,2,,1,30,24,False,0,0,0,1
43,29.4,102.6,42.5,149.0,1.1,Wilson,61,ST,BOU,180,58,7.0,6,,0,20,13,False,0,0,0,3
